carrier_name|id
Carrier 605817|0
Carrier 1396487|1
Carrier 1044585|2
Carrier 738|3
Carrier 14533|4
Carrier 1695246|5
Carrier 968589|6
Carrier 1695502|7
Carrier 749107|8
Carrier 1049651|9
Carrier 1229009|10
Carrier 1019564|11
Carrier 1027120|12
Carrier 1695273|13
Carrier 1058714|14
Carrier 1695748|15
Carrier 1333902|16
Carrier 1695547|17
Carrier 1197981|18
Carrier 74718|19
Carrier 1067308|20
Carrier 1416491|21
Carrier 1430635|22
Carrier 9000|23
Carrier 645257|24
Carrier 33512|25
Carrier 1695510|26
Carrier 1193408|27
Carrier 91007|28
Carrier 1467410|29
Carrier 59030|30
Carrier 1480348|31
Carrier 1433718|32
Carrier 1367601|33
Carrier 80460|34
Carrier 1042215|35
Carrier 704679|36
Carrier 93448|37
Carrier 778733|38
Carrier 8835|39
Carrier 1009479|40
Carrier 1233002|41
Carrier 690828|42
Carrier 16359|43
Carrier 1333777|44
Carrier 74163|45
Carrier 1492505|46
Carrier 1633527|47
Carrier 1361792|48
Carrier 722913|49
Carrier 1693551|50
Carrier 1693568|51
Carrier 34632|52
Carrier 102826|53
Carrier 89123|54
Carrier 1262311|55
Carrier 1033481|56
Carrier 19121|57
Carrier 1693534|58
Carrier 1687657|59
Carrier 1016288|60
Carrier 1695676|61
Carrier 99500|62
Carrier 1350192|63
Carrier 1403814|64
Carrier 1085448|65
Carrier 1641256|66
Carrier 1086560|67
Carrier 86164|68
Carrier 102563|69
Carrier 1695549|70
Carrier 101341|71
Carrier 951426|72
Carrier 1241778|73
Carrier 1215243|74
Carrier 1241928|75
Carrier 1046543|76
Carrier 101432|77
Carrier 1044630|78
Carrier 1072372|79
Carrier 1046323|80
Carrier 389721|81
Carrier 57804|82
Carrier 971923|83
Carrier 41201|84
Carrier 1054825|85
Carrier 65584|86
Carrier 87075|87
Carrier 50251|88
Carrier 1066083|89
Carrier 104935|90
Carrier 101147|91
Carrier 166414|92
Carrier 1468866|93
Carrier 591477|94
Carrier 1243230|95
Carrier 1052955|96
Carrier 1018566|97
Carrier 1695775|98
Carrier 1695684|99
Carrier 1168345|100
Carrier 1462792|101
Carrier 326118|102
Carrier 1695402|103
Carrier 12080|104
Carrier 1025747|105
Carrier 1491474|106
Carrier 1035146|107
Carrier 1594295|108
Carrier 1605466|109
Carrier 1070370|110
Carrier 1694857|111
Carrier 5742|112
Carrier 1695667|113
Carrier 1695670|114
Carrier 1477927|115
Carrier 1375300|116
Carrier 1640346|117
Carrier 1695240|118
Carrier 82831|119
Carrier 1695721|120
Carrier 1138362|121
Carrier 795325|122
Carrier 1266319|123
Carrier 1448160|124
Carrier 78455|125
Carrier 731927|126
Carrier 1024294|127
Carrier 1060870|128
Carrier 1044520|129
Carrier 14950|130
Carrier 31074|131
Carrier 1695650|132
Carrier 1044237|133
Carrier 1020435|134
Carrier 1218604|135
Carrier 72909|136
Carrier 1283148|137
Carrier 1298496|138
Carrier 1695646|139
Carrier 357773|140
Carrier 104138|141
Carrier 1285422|142
Carrier 129474|143
Carrier 77854|144
Carrier 102819|145
Carrier 1241642|146
Carrier 77438|147
Carrier 27323|148
Carrier 623469|149
Carrier 1527372|150
Carrier 6214|151
Carrier 1695644|152
Carrier 1555174|153
Carrier 1215458|154
Carrier 1452983|155
Carrier 1015803|156
Carrier 2777|157
Carrier 997050|158
Carrier 13049|159
Carrier 1237001|160
Carrier 107932|161
Carrier 1005425|162
Carrier 81967|163
Carrier 1014943|164
Carrier 99659|165
Carrier 1695713|166
Carrier 1615835|167
Carrier 1215447|168
Carrier 975211|169
Carrier 1215377|170
Carrier 1330853|171
Carrier 92055|172
Carrier 76519|173
Carrier 1695657|174
Carrier 859631|175
Carrier 1695548|176
Carrier 1694422|177
Carrier 617685|178
Carrier 109416|179
Carrier 1045524|180
Carrier 1055986|181
Carrier 1666034|182
Carrier 1401261|183
Carrier 1695513|184
Carrier 84317|185
Carrier 69267|186
Carrier 1569931|187
Carrier 1573290|188
Carrier 1239822|189
Carrier 972055|190
Carrier 113604|191
Carrier 31780|192
Carrier 1592494|193
Carrier 1589458|194
Carrier 1102170|195
Carrier 1215454|196
Carrier 369761|197
Carrier 72416|198
Carrier 1071033|199
Carrier 114413|200
Carrier 1244511|201
Carrier 1058232|202
Carrier 1035111|203
Carrier 516466|204
Carrier 114297|205
Carrier 945244|206
Carrier 102897|207
Carrier 765902|208
Carrier 1693836|209
Carrier 999732|210
Carrier 1695411|211
Carrier 93256|212
Carrier 69585|213
Carrier 1051624|214
Carrier 1240834|215
Carrier 77017|216
Carrier 1398391|217
Carrier 1544941|218
Carrier 1030902|219
Carrier 1270403|220
Carrier 1005528|221
Carrier 944110|222
Carrier 1532346|223
Carrier 80128|224
Carrier 105736|225
Carrier 98311|226
Carrier 10861|227
Carrier 1004831|228
