lane|id|pickup|delivery
Hood River,OR -> Upper Marlboro,MD|0|Hood River,OR|Upper Marlboro,MD
Etowah,TN -> Reno,NV|1|Etowah,TN|Reno,NV
Salinas,CA -> Upper Marlboro,MD|2|Salinas,CA|Upper Marlboro,MD
Montpelier,OH -> Reno,NV|3|Montpelier,OH|Reno,NV
Newark,DE -> Portland,OR|4|Newark,DE|Portland,OR
Maxton,NC -> Portland,OR|5|Maxton,NC|Portland,OR
Manning,SC -> Portland,OR|6|Manning,SC|Portland,OR
Santa Ana,CA -> Plant City,FL|7|Santa Ana,CA|Plant City,FL
Trenton,MO -> Reno,NV|8|Trenton,MO|Reno,NV
Gonzales,CA -> Upper Marlboro,MD|9|Gonzales,CA|Upper Marlboro,MD
Lakewood,NY -> Portland,OR|10|Lakewood,NY|Portland,OR
Fairfield,CA -> Newark,NJ|11|Fairfield,CA|Newark,NJ
Yakima,WA -> Upper Marlboro,MD|12|Yakima,WA|Upper Marlboro,MD
Concord,NC -> Portland,OR|13|Concord,NC|Portland,OR
Delano,CA -> Methuen,MA|14|Delano,CA|Methuen,MA
Fairfield,CA -> Jacksonville,FL|15|Fairfield,CA|Jacksonville,FL
Phoenix,AZ -> Pacific,WA|16|Phoenix,AZ|Pacific,WA
Moxee,WA -> Methuen,MA|17|Moxee,WA|Methuen,MA
Stockton,CA -> Palm City,FL|18|Stockton,CA|Palm City,FL
Compton,CA -> Plant City,FL|19|Compton,CA|Plant City,FL
Hanover,PA -> Portland,OR|20|Hanover,PA|Portland,OR
Stockton,CA -> Parrish,FL|21|Stockton,CA|Parrish,FL
Portland,OR -> Canton,OH|22|Portland,OR|Canton,OH
Los Angeles,CA -> Greensboro,NC|23|Los Angeles,CA|Greensboro,NC
Yakima,WA -> Methuen,MA|24|Yakima,WA|Methuen,MA
Compton,CA -> Commerce,GA|25|Compton,CA|Commerce,GA
Shafter,CA -> Plant City,FL|26|Shafter,CA|Plant City,FL
Selah,WA -> Methuen,MA|27|Selah,WA|Methuen,MA
La Pine,OR -> Methuen,MA|28|La Pine,OR|Methuen,MA
Saint Anthony,ID -> Orlando,FL|29|Saint Anthony,ID|Orlando,FL
Merrimack,NH -> Jacksonville,FL|30|Merrimack,NH|Jacksonville,FL
Los Angeles,CA -> Newark,NJ|31|Los Angeles,CA|Newark,NJ
Bingen,WA -> Methuen,MA|32|Bingen,WA|Methuen,MA
Los Angeles,CA -> Raleigh,NC|33|Los Angeles,CA|Raleigh,NC
Wapato,WA -> Methuen,MA|34|Wapato,WA|Methuen,MA
Forest City,NC -> Portland,OR|35|Forest City,NC|Portland,OR
Brownsville,TX -> Portland,OR|36|Brownsville,TX|Portland,OR
Del Rio,TX -> Mount Holly,NC|37|Del Rio,TX|Mount Holly,NC
North Charleston,SC -> Laredo,TX|38|North Charleston,SC|Laredo,TX
Fairfield,CA -> Granite City,IL|39|Fairfield,CA|Granite City,IL
Vernon,CA -> South Plainfield,NJ|40|Vernon,CA|South Plainfield,NJ
La Palma,CA -> Plant City,FL|41|La Palma,CA|Plant City,FL
La Palma,CA -> Lakeland,FL|42|La Palma,CA|Lakeland,FL
Morganton,NC -> Reno,NV|43|Morganton,NC|Reno,NV
Brighton,MI -> Portland,OR|44|Brighton,MI|Portland,OR
Los Angeles,CA -> La Vergne,TN|45|Los Angeles,CA|La Vergne,TN
Decatur,IN -> Portland,OR|46|Decatur,IN|Portland,OR
Chillicothe,OH -> Portland,OR|47|Chillicothe,OH|Portland,OR
Commerce,CA -> Brooklyn,NY|48|Commerce,CA|Brooklyn,NY
Ontario,CA -> Laredo,TX|49|Ontario,CA|Laredo,TX
Rochester,NY -> Portland,OR|50|Rochester,NY|Portland,OR
Los Angeles,CA -> Columbus,OH|51|Los Angeles,CA|Columbus,OH
Los Angeles,CA -> Cartersville,GA|52|Los Angeles,CA|Cartersville,GA
Oxnard,CA -> Eagan,MN|53|Oxnard,CA|Eagan,MN
Fresno,CA -> Methuen,MA|54|Fresno,CA|Methuen,MA
Kingman,AZ -> Methuen,MA|55|Kingman,AZ|Methuen,MA
Wood Dale,IL -> Statesville,NC|56|Wood Dale,IL|Statesville,NC
Fort Collins,CO -> Jacksonville,FL|57|Fort Collins,CO|Jacksonville,FL
North Charleston,SC -> Reno,NV|58|North Charleston,SC|Reno,NV
Fairfield,CA -> Miami,FL|59|Fairfield,CA|Miami,FL
Santa Ana,CA -> Leola,PA|60|Santa Ana,CA|Leola,PA
Fairfield,CA -> Rapid City,SD|61|Fairfield,CA|Rapid City,SD
Salisbury,NC -> Reno,NV|62|Salisbury,NC|Reno,NV
Mogadore,OH -> Portland,OR|63|Mogadore,OH|Portland,OR
Indianapolis,IN -> Laredo,TX|64|Indianapolis,IN|Laredo,TX
Sioux City,IA -> Temple,TX|65|Sioux City,IA|Temple,TX
Plant City,FL -> Stockton,CA|66|Plant City,FL|Stockton,CA
Lakewood,NY -> Laredo,TX|67|Lakewood,NY|Laredo,TX
Fort Collins,CO -> Orlando,FL|68|Fort Collins,CO|Orlando,FL
Yuma,AZ -> Roanoke,TX|69|Yuma,AZ|Roanoke,TX
Missouri City,TX -> Altamonte Springs,FL|70|Missouri City,TX|Altamonte Springs,FL
Gonzales,CA -> Roanoke,TX|71|Gonzales,CA|Roanoke,TX
Union Gap,WA -> Denver,CO|72|Union Gap,WA|Denver,CO
Santa Ana,CA -> Monroe Township,NJ|73|Santa Ana,CA|Monroe Township,NJ
St. Louis,MO -> Homestead,FL|74|St. Louis,MO|Homestead,FL
Rio Rico,AZ -> Salt Lake City,UT|75|Rio Rico,AZ|Salt Lake City,UT
Plant City,FL -> Eugene,OR|76|Plant City,FL|Eugene,OR
Erie,PA -> Portland,OR|77|Erie,PA|Portland,OR
Pittston,PA -> Portland,OR|78|Pittston,PA|Portland,OR
Crete,IL -> Plant City,FL|79|Crete,IL|Plant City,FL
Pittsburgh,PA -> Tolleson,AZ|80|Pittsburgh,PA|Tolleson,AZ
Hauppauge,NY -> Plant City,FL|81|Hauppauge,NY|Plant City,FL
Bowling Green,OH -> Laredo,TX|82|Bowling Green,OH|Laredo,TX
Toledo,OH -> Portland,OR|83|Toledo,OH|Portland,OR
Sioux City,IA -> Kissimmee,FL|84|Sioux City,IA|Kissimmee,FL
Santa Ana,CA -> Monrovia,MD|85|Santa Ana,CA|Monrovia,MD
Beecher,IL -> Plant City,FL|86|Beecher,IL|Plant City,FL
Tracy,CA -> Melrose Park,IL|87|Tracy,CA|Melrose Park,IL
Lodi,CA -> Roanoke,TX|88|Lodi,CA|Roanoke,TX
Brooklyn Park,MN -> Lakeland,FL|89|Brooklyn Park,MN|Lakeland,FL
Newark,NJ -> Boise,ID|90|Newark,NJ|Boise,ID
Portland,OR -> Tempe,AZ|91|Portland,OR|Tempe,AZ
Little Falls,NY -> Fort Collins,CO|92|Little Falls,NY|Fort Collins,CO
Decatur,IN -> Cleveland,NC|93|Decatur,IN|Cleveland,NC
Portland,OR -> Memphis,TN|94|Portland,OR|Memphis,TN
Houston,TX -> Pacific,WA|95|Houston,TX|Pacific,WA
Los Angeles,CA -> Missoula,MT|96|Los Angeles,CA|Missoula,MT
Lewisville,ID -> Tolleson,AZ|97|Lewisville,ID|Tolleson,AZ
Paragould,AR -> Reno,NV|98|Paragould,AR|Reno,NV
Ottawa,KS -> Tracy,CA|99|Ottawa,KS|Tracy,CA
Carson,CA -> Monroe Township,NJ|100|Carson,CA|Monroe Township,NJ
Selah,WA -> Tolleson,AZ|101|Selah,WA|Tolleson,AZ
Los Angeles,CA -> Plant City,FL|102|Los Angeles,CA|Plant City,FL
Vineland,NJ -> Canby,OR|103|Vineland,NJ|Canby,OR
Vineland,NJ -> Portland,OR|104|Vineland,NJ|Portland,OR
Carlisle,PA -> Jacksonville,FL|105|Carlisle,PA|Jacksonville,FL
Plant City,FL -> Portland,OR|106|Plant City,FL|Portland,OR
Franklin,IN -> Modesto,CA|107|Franklin,IN|Modesto,CA
Poynette,WI -> Denver,CO|108|Poynette,WI|Denver,CO
Santa Maria,CA -> Salt Lake City,UT|109|Santa Maria,CA|Salt Lake City,UT
Prescott,WA -> Denver,CO|110|Prescott,WA|Denver,CO
Fort Collins,CO -> Newark,NJ|111|Fort Collins,CO|Newark,NJ
Brighton,MI -> Laredo,TX|112|Brighton,MI|Laredo,TX
Toledo,OH -> Memphis,TN|113|Toledo,OH|Memphis,TN
Carson,CA -> Monrovia,MD|114|Carson,CA|Monrovia,MD
Piedmont,SC -> Laredo,TX|115|Piedmont,SC|Laredo,TX
Baldwinsville,NY -> Clifton,CO|116|Baldwinsville,NY|Clifton,CO
Sapulpa,OK -> Warner Robins,GA|117|Sapulpa,OK|Warner Robins,GA
Rossville,GA -> Cleveland,NC|118|Rossville,GA|Cleveland,NC
